dataset,exam,sequence,file,slice_index,psnr,ssim
data_1,D1-000,T1,D1-000_T1FS,0,6.039430,0.060026
data_1,D1-000,T1,D1-000_T1FS,1,6.071125,0.064821
data_1,D1-000,T1,D1-000_T1FS,2,6.209351,0.064820
data_1,D1-000,T1,D1-000_T1FS,3,6.326357,0.065164
data_1,D1-000,T1,D1-000_T1FS,4,6.540606,0.068032
data_1,D1-000,T1,D1-000_T1FS,5,6.656663,0.071780
data_1,D1-000,T1,D1-000_T1FS,6,6.806164,0.077185
data_1,D1-000,T1,D1-000_T1FS,7,7.028266,0.082382
data_1,D1-000,T1,D1-000_T1FS,8,6.836281,0.087417
data_1,D1-000,T1,D1-000_T1FS,9,6.807325,0.093396
data_1,D1-000,T1,D1-000_T1FS,10,6.788560,0.098452
data_1,D1-000,T1,D1-000_T1FS,11,6.899710,0.103434
data_1,D1-000,T1,D1-000_T1FS,12,6.612719,0.107197
data_1,D1-000,T1,D1-000_T1FS,13,6.974949,0.112688
data_1,D1-000,T1,D1-000_T1FS,14,7.047963,0.117627
data_1,D1-000,T1,D1-000_T1FS,15,6.932378,0.118901
data_1,D1-000,T1,D1-000_T1FS,16,6.717220,0.118964
data_1,D1-000,T1,D1-000_T1FS,17,6.943427,0.120331
data_1,D1-000,T1,D1-000_T1FS,18,8.848249,0.133128
data_1,D1-000,T1,D1-000_T1FS,19,11.700267,0.153455
data_1,D1-000,T1,D1-000_T1FS,20,12.357874,0.154914
data_1,D1-000,T1,D1-000_T1FS,21,11.890011,0.140476
data_1,D1-000,T1,D1-000_T1FS,22,10.046192,0.119190
data_1,D1-000,T1,D1-000_T1FS,23,8.283505,0.097009
data_1,D1-000,T1,D1-000_T1FS,24,7.479678,0.082757
data_1,D1-000,T1,D1-000_T1FS,25,7.466382,0.074785
data_1,D1-000,T1,D1-000_T1FS,26,7.872757,0.070196
data_1,D1-000,T1,D1-000_T1FS,27,8.169650,0.065870
data_1,D1-000,T1,D1-000_T1FS,28,8.112785,0.058823
data_1,D1-000,T1,D1-000_T1FS,29,8.282578,0.055314
data_1,D1-000,T1,D1-000_T1FS,30,8.401261,0.052389
data_1,D1-000,T1,D1-000_T1FS,31,9.069104,0.053339
data_1,D1-000,T2,D1-000_T2,0,6.732382,0.048960
data_1,D1-000,T2,D1-000_T2,1,6.873644,0.053722
data_1,D1-000,T2,D1-000_T2,2,6.382993,0.053386
data_1,D1-000,T2,D1-000_T2,3,6.291840,0.054760
data_1,D1-000,T2,D1-000_T2,4,7.489283,0.064917
data_1,D1-000,T2,D1-000_T2,5,14.337185,0.125051
data_1,D1-000,T2,D1-000_T2,6,14.099579,0.138481
data_1,D1-000,T2,D1-000_T2,7,13.099565,0.147175
data_1,D1-000,T2,D1-000_T2,8,12.322922,0.152353
data_1,D1-000,T2,D1-000_T2,9,11.573882,0.158180
data_1,D1-000,T2,D1-000_T2,10,11.748548,0.163535
data_1,D1-000,T2,D1-000_T2,11,12.361749,0.169062
data_1,D1-000,T2,D1-000_T2,12,13.075751,0.171841
data_1,D1-000,T2,D1-000_T2,13,13.884838,0.174897
data_1,D1-000,T2,D1-000_T2,14,10.967227,0.137143
data_1,D1-000,T2,D1-000_T2,15,11.223469,0.147400
data_1,D1-000,T2,D1-000_T2,16,12.089582,0.157830
data_1,D1-000,T2,D1-000_T2,17,12.962261,0.170336
data_1,D1-000,T2,D1-000_T2,18,12.785868,0.166750
data_1,D1-000,T2,D1-000_T2,19,12.618200,0.164817
data_1,D1-000,T2,D1-000_T2,20,12.749727,0.153162
data_1,D1-000,T2,D1-000_T2,21,12.937495,0.144191
data_1,D1-000,T2,D1-000_T2,22,12.222816,0.118600
data_1,D1-000,T2,D1-000_T2,23,10.769254,0.100148
data_1,D1-000,T2,D1-000_T2,24,8.924927,0.075120
data_1,D1-000,T2,D1-000_T2,25,7.640330,0.060873
data_1,D1-000,T2,D1-000_T2,26,6.665955,0.051637
data_1,D1-000,T2,D1-000_T2,27,5.976166,0.046089
data_1,D1-000,T2,D1-000_T2,28,5.829152,0.038539
data_1,D1-000,T2,D1-000_T2,29,5.866244,0.037342
data_1,D1-000,T2,D1-000_T2,30,6.390302,0.039025
data_1,D1-000,T2,D1-000_T2,31,6.450473,0.039450
data_1,D1-001,T1,D1-001_T1FS,0,8.266963,0.314594
data_1,D1-001,T1,D1-001_T1FS,1,8.358168,0.316339
data_1,D1-001,T1,D1-001_T1FS,2,8.436037,0.318837
data_1,D1-001,T1,D1-001_T1FS,3,8.501629,0.320059
data_1,D1-001,T1,D1-001_T1FS,4,8.560782,0.320601
data_1,D1-001,T1,D1-001_T1FS,5,8.593401,0.321155
data_1,D1-001,T1,D1-001_T1FS,6,8.602927,0.322285
data_1,D1-001,T1,D1-001_T1FS,7,8.601416,0.322021
data_1,D1-001,T1,D1-001_T1FS,8,8.588967,0.320733
data_1,D1-001,T1,D1-001_T1FS,9,8.544089,0.320205
data_1,D1-001,T1,D1-001_T1FS,10,8.502358,0.321086
data_1,D1-001,T1,D1-001_T1FS,11,8.429125,0.321240
data_1,D1-001,T1,D1-001_T1FS,12,8.358085,0.321103
data_1,D1-001,T1,D1-001_T1FS,13,8.349100,0.321687
data_1,D1-001,T1,D1-001_T1FS,14,8.380251,0.322010
data_1,D1-001,T1,D1-001_T1FS,15,8.382978,0.321870
data_1,D1-001,T1,D1-001_T1FS,16,8.349039,0.322521
data_1,D1-001,T1,D1-001_T1FS,17,8.326364,0.323837
data_1,D1-001,T1,D1-001_T1FS,18,8.383881,0.323838
data_1,D1-001,T1,D1-001_T1FS,19,8.491818,0.324369
data_1,D1-001,T1,D1-001_T1FS,20,8.577020,0.325942
data_1,D1-001,T1,D1-001_T1FS,21,8.632985,0.325994
data_1,D1-001,T1,D1-001_T1FS,22,8.609908,0.325927
data_1,D1-001,T1,D1-001_T1FS,23,8.611050,0.326973
data_1,D1-001,T1,D1-001_T1FS,24,8.617252,0.327686
data_1,D1-001,T1,D1-001_T1FS,25,8.655663,0.329198
data_1,D1-001,T1,D1-001_T1FS,26,8.674288,0.330695
data_1,D1-001,T1,D1-001_T1FS,27,8.661374,0.331374
data_1,D1-001,T1,D1-001_T1FS,28,8.691120,0.332066
data_1,D1-001,T1,D1-001_T1FS,29,8.666224,0.331760
data_1,D1-001,T1,D1-001_T1FS,30,8.638744,0.332441
data_1,D1-001,T1,D1-001_T1FS,31,8.672865,0.334017
data_1,D1-001,T1,D1-001_T1FS,32,8.733730,0.333821
data_1,D1-001,T1,D1-001_T1FS,33,8.853198,0.334200
data_1,D1-001,T1,D1-001_T1FS,34,8.938990,0.333609
data_1,D1-001,T1,D1-001_T1FS,35,8.933130,0.333604
data_1,D1-001,T1,D1-001_T1FS,36,8.903009,0.333849
data_1,D1-001,T1,D1-001_T1FS,37,8.934177,0.334191
data_1,D1-001,T1,D1-001_T1FS,38,8.886758,0.333707
data_1,D1-001,T1,D1-001_T1FS,39,8.846863,0.333852
data_1,D1-001,T1,D1-001_T1FS,40,8.841361,0.334761
data_1,D1-001,T1,D1-001_T1FS,41,8.818033,0.335270
data_1,D1-001,T1,D1-001_T1FS,42,8.864305,0.336623
data_1,D1-001,T1,D1-001_T1FS,43,8.914046,0.337454
data_1,D1-001,T1,D1-001_T1FS,44,8.923853,0.338104
data_1,D1-001,T1,D1-001_T1FS,45,8.945074,0.339339
data_1,D1-001,T1,D1-001_T1FS,46,8.944082,0.340417
data_1,D1-001,T1,D1-001_T1FS,47,8.864632,0.339861
data_1,D1-001,T1,D1-001_T1FS,48,8.881557,0.339366
data_1,D1-001,T1,D1-001_T1FS,49,8.889799,0.339680
data_1,D1-001,T1,D1-001_T1FS,50,8.797133,0.340659
data_1,D1-001,T1,D1-001_T1FS,51,8.752678,0.341818
data_1,D1-001,T1,D1-001_T1FS,52,8.689702,0.341437
data_1,D1-001,T1,D1-001_T1FS,53,8.628718,0.341464
data_1,D1-001,T1,D1-001_T1FS,54,8.654643,0.342597
data_1,D1-001,T1,D1-001_T1FS,55,8.702598,0.344958
data_1,D1-001,T1,D1-001_T1FS,56,8.747679,0.346058
data_1,D1-001,T1,D1-001_T1FS,57,8.694679,0.346130
data_1,D1-001,T1,D1-001_T1FS,58,8.631778,0.346449
data_1,D1-001,T1,D1-001_T1FS,59,8.585383,0.346176
data_1,D1-001,T1,D1-001_T1FS,60,8.570363,0.346125
data_1,D1-001,T1,D1-001_T1FS,61,8.535641,0.346555
data_1,D1-001,T1,D1-001_T1FS,62,8.503282,0.346891
data_1,D1-001,T1,D1-001_T1FS,63,8.481971,0.347603
data_1,D1-001,T1,D1-001_T1FS,64,8.465314,0.348685
data_1,D1-001,T1,D1-001_T1FS,65,8.491782,0.349374
data_1,D1-001,T1,D1-001_T1FS,66,8.558640,0.350772
data_1,D1-001,T1,D1-001_T1FS,67,8.572076,0.351156
data_1,D1-001,T1,D1-001_T1FS,68,8.577626,0.351006
data_1,D1-001,T1,D1-001_T1FS,69,8.609095,0.349536
data_1,D1-001,T1,D1-001_T1FS,70,8.704162,0.350681
data_1,D1-001,T1,D1-001_T1FS,71,8.781652,0.351334
data_1,D1-001,T1,D1-001_T1FS,72,8.899133,0.352297
data_1,D1-001,T1,D1-001_T1FS,73,9.030494,0.352127
data_1,D1-001,T1,D1-001_T1FS,74,9.081796,0.350467
data_1,D1-001,T1,D1-001_T1FS,75,9.131707,0.348761
data_1,D1-001,T1,D1-001_T1FS,76,9.166200,0.347568
data_1,D1-001,T1,D1-001_T1FS,77,9.191899,0.346699
data_1,D1-001,T1,D1-001_T1FS,78,9.207753,0.344571
data_1,D1-001,T1,D1-001_T1FS,79,9.252996,0.342950
data_1,D1-001,T1,D1-001_T1FS,80,9.316917,0.341128
data_1,D1-001,T1,D1-001_T1FS,81,9.302129,0.338741
data_1,D1-001,T1,D1-001_T1FS,82,9.299002,0.336664
data_1,D1-001,T1,D1-001_T1FS,83,9.322309,0.335141
data_1,D1-001,T1,D1-001_T1FS,84,9.317432,0.333870
data_1,D1-001,T1,D1-001_T1FS,85,9.338116,0.333088
data_1,D1-001,T1,D1-001_T1FS,86,9.382426,0.332842
data_1,D1-001,T1,D1-001_T1FS,87,9.460358,0.333626
data_1,D1-001,T1,D1-001_T1FS,88,9.525641,0.334303
data_1,D1-001,T1,D1-001_T1FS,89,9.590501,0.333668
data_1,D1-001,T1,D1-001_T1FS,90,9.707622,0.333523
data_1,D1-001,T1,D1-001_T1FS,91,9.855038,0.333433
data_1,D1-001,T1,D1-001_T1FS,92,10.017204,0.334302
data_1,D1-001,T1,D1-001_T1FS,93,10.129502,0.335591
data_1,D1-001,T1,D1-001_T1FS,94,10.194642,0.337929
data_1,D1-001,T1,D1-001_T1FS,95,10.287676,0.341512
data_1,D1-001,T1,D1-001_T1FS,96,10.299163,0.343792
data_1,D1-001,T1,D1-001_T1FS,97,10.271031,0.346035
data_1,D1-001,T1,D1-001_T1FS,98,10.224717,0.348399
data_1,D1-001,T1,D1-001_T1FS,99,10.249493,0.350818
data_1,D1-001,T2,D1-001_T2,0,4.254418,0.010740
data_1,D1-001,T2,D1-001_T2,1,4.357123,0.011329
data_1,D1-001,T2,D1-001_T2,2,4.445154,0.011841
data_1,D1-001,T2,D1-001_T2,3,4.478444,0.010777
data_1,D1-001,T2,D1-001_T2,4,4.591144,0.011860
data_1,D1-001,T2,D1-001_T2,5,4.598785,0.011328
data_1,D1-001,T2,D1-001_T2,6,4.749574,0.011355
data_1,D1-001,T2,D1-001_T2,7,4.952822,0.010048
data_1,D1-001,T2,D1-001_T2,8,4.911296,0.007946
data_1,D1-001,T2,D1-001_T2,9,4.864716,0.005802
data_1,D1-001,T2,D1-001_T2,10,4.900255,0.005015
data_1,D1-001,T2,D1-001_T2,11,5.031903,0.005118
data_1,D1-001,T2,D1-001_T2,12,5.075449,0.005129
data_1,D1-001,T2,D1-001_T2,13,4.914854,0.004695
data_1,D1-001,T2,D1-001_T2,14,4.937306,0.005405
data_1,D1-001,T2,D1-001_T2,15,5.086380,0.005717
data_1,D1-001,T2,D1-001_T2,16,4.991411,0.006692
data_1,D1-001,T2,D1-001_T2,17,4.884058,0.007783
data_1,D1-001,T2,D1-001_T2,18,4.782275,0.008435
data_1,D1-001,T2,D1-001_T2,19,4.778544,0.009223
data_1,D1-001,T2,D1-001_T2,20,4.639780,0.008783
data_1,D1-001,T2,D1-001_T2,21,4.681748,0.008283
data_1,D1-001,T2,D1-001_T2,22,4.501989,0.008094
data_1,D1-001,T2,D1-001_T2,23,4.354430,0.007050
data_1,D1-001,T2,D1-001_T2,24,4.250403,0.006664
data_1,D1-001,T2,D1-001_T2,25,4.453886,0.006341
data_1,D1-001,T2,D1-001_T2,26,4.527781,0.005140
data_1,D1-001,T2,D1-001_T2,27,4.728415,0.005055
data_1,D1-001,T2,D1-001_T2,28,4.799540,0.004734
data_1,D1-001,T2,D1-001_T2,29,5.040593,0.005422
data_1,D1-001,T2,D1-001_T2,30,5.430265,0.004910
data_1,D1-001,T2,D1-001_T2,31,6.380379,0.006226
data_1,D1-001,T2,D1-001_T2,32,6.556519,0.004619
data_1,D1-001,T2,D1-001_T2,33,6.757560,0.006090
data_1,D1-001,T2,D1-001_T2,34,6.306566,0.005778
data_1,D1-001,T2,D1-001_T2,35,5.652892,0.005944
data_1,D1-001,T2,D1-001_T2,36,5.002595,0.005701
data_1,D1-001,T2,D1-001_T2,37,4.871068,0.005606
data_1,D1-001,T2,D1-001_T2,38,4.911668,0.005888
data_1,D1-001,T2,D1-001_T2,39,4.667693,0.006868
data_1,D1-001,T2,D1-001_T2,40,4.570999,0.005836
data_1,D1-001,T2,D1-001_T2,41,4.393774,0.003577
data_1,D1-001,T2,D1-001_T2,42,4.354315,0.003366
data_1,D1-001,T2,D1-001_T2,43,4.396422,0.003435
data_1,D1-001,T2,D1-001_T2,44,4.248423,0.003421
data_1,D1-001,T2,D1-001_T2,45,4.190649,0.003776
data_1,D1-001,T2,D1-001_T2,46,4.111294,0.003967
data_1,D1-001,T2,D1-001_T2,47,4.050242,0.004088
data_1,D1-001,T2,D1-001_T2,48,4.281345,0.004566
data_1,D1-001,T2,D1-001_T2,49,4.137386,0.004771
data_1,D1-002,T1,D1-002_T1FS,0,5.611592,0.040849
data_1,D1-002,T1,D1-002_T1FS,1,4.755512,0.037449
data_1,D1-002,T1,D1-002_T1FS,2,4.462603,0.032157
data_1,D1-002,T1,D1-002_T1FS,3,4.516702,0.030474
data_1,D1-002,T1,D1-002_T1FS,4,4.480173,0.028556
data_1,D1-002,T1,D1-002_T1FS,5,4.413180,0.029062
data_1,D1-002,T1,D1-002_T1FS,6,4.331018,0.025880
data_1,D1-002,T1,D1-002_T1FS,7,4.360341,0.030182
data_1,D1-002,T1,D1-002_T1FS,8,4.573864,0.032877
data_1,D1-002,T1,D1-002_T1FS,9,4.753063,0.037993
data_1,D1-002,T1,D1-002_T1FS,10,5.046544,0.044198
data_1,D1-002,T1,D1-002_T1FS,11,5.225026,0.050071
data_1,D1-002,T1,D1-002_T1FS,12,5.280633,0.053522
data_1,D1-002,T1,D1-002_T1FS,13,5.602197,0.059329
data_1,D1-002,T1,D1-002_T1FS,14,5.447409,0.062985
data_1,D1-002,T1,D1-002_T1FS,15,5.955707,0.068976
data_1,D1-002,T1,D1-002_T1FS,16,5.890243,0.077558
data_1,D1-002,T1,D1-002_T1FS,17,5.618437,0.082364
data_1,D1-002,T1,D1-002_T1FS,18,6.122195,0.095729
data_1,D1-002,T1,D1-002_T1FS,19,6.781816,0.094531
data_1,D1-002,T1,D1-002_T1FS,20,6.377393,0.079456
data_1,D1-002,T1,D1-002_T1FS,21,6.942819,0.070942
data_1,D1-002,T1,D1-002_T1FS,22,9.958872,0.058622
data_1,D1-002,T1,D1-002_T1FS,23,9.814077,0.042154
data_1,D1-002,T1,D1-002_T1FS,24,8.285424,0.037020
data_1,D1-002,T1,D1-002_T1FS,25,7.904318,0.031750
data_1,D1-002,T1,D1-002_T1FS,26,6.825972,0.027434
data_1,D1-002,T1,D1-002_T1FS,27,6.297985,0.034285
data_1,D1-002,T1,D1-002_T1FS,28,6.145101,0.036156
data_1,D1-002,T1,D1-002_T1FS,29,6.826155,0.033276
data_1,D1-002,T1,D1-002_T1FS,30,6.278245,0.041502
data_1,D1-002,T1,D1-002_T1FS,31,6.305166,0.039594
data_1,D1-002,T1,D1-002_T1FS,32,5.960664,0.045271
data_1,D1-002,T1,D1-002_T1FS,33,6.051471,0.047812
data_1,D1-002,T1,D1-002_T1FS,34,7.000452,0.045569
data_1,D1-002,T2,D1-002_T2,0,7.742558,0.374178
data_1,D1-002,T2,D1-002_T2,1,7.627633,0.348813
data_1,D1-002,T2,D1-002_T2,2,7.687260,0.333683
data_1,D1-002,T2,D1-002_T2,3,7.523972,0.327929
data_1,D1-002,T2,D1-002_T2,4,7.428955,0.325198
data_1,D1-002,T2,D1-002_T2,5,7.190982,0.326154
data_1,D1-002,T2,D1-002_T2,6,6.924563,0.325557
data_1,D1-002,T2,D1-002_T2,7,6.808374,0.328473
data_1,D1-002,T2,D1-002_T2,8,6.663389,0.328758
data_1,D1-002,T2,D1-002_T2,9,6.560009,0.330889
data_1,D1-002,T2,D1-002_T2,10,6.487188,0.336451
data_1,D1-002,T2,D1-002_T2,11,6.476770,0.341568
data_1,D1-002,T2,D1-002_T2,12,6.460333,0.345691
data_1,D1-002,T2,D1-002_T2,13,6.476276,0.350318
data_1,D1-002,T2,D1-002_T2,14,6.388626,0.355723
data_1,D1-002,T2,D1-002_T2,15,6.386375,0.359993
data_1,D1-002,T2,D1-002_T2,16,6.391913,0.366295
data_1,D1-002,T2,D1-002_T2,17,6.418445,0.372070
data_1,D1-002,T2,D1-002_T2,18,6.657369,0.378367
data_1,D1-002,T2,D1-002_T2,19,6.667461,0.386089
data_1,D1-002,T2,D1-002_T2,20,6.833415,0.398568
data_1,D1-002,T2,D1-002_T2,21,7.084230,0.403903
data_1,D1-002,T2,D1-002_T2,22,7.378892,0.413842
data_1,D1-002,T2,D1-002_T2,23,7.618689,0.419080
data_1,D1-002,T2,D1-002_T2,24,7.548761,0.421495
data_1,D1-002,T2,D1-002_T2,25,7.359337,0.417027
data_1,D1-002,T2,D1-002_T2,26,7.156839,0.407750
data_1,D1-002,T2,D1-002_T2,27,7.027220,0.399697
data_1,D1-002,T2,D1-002_T2,28,6.912168,0.397689
data_1,D1-002,T2,D1-002_T2,29,6.662565,0.393073
data_1,D1-002,T2,D1-002_T2,30,6.672954,0.397491
data_1,D1-002,T2,D1-002_T2,31,6.592118,0.396796
data_1,D1-002,T2,D1-002_T2,32,6.531572,0.402538
data_1,D1-002,T2,D1-002_T2,33,6.608570,0.403392
data_1,D1-002,T2,D1-002_T2,34,6.615207,0.406522
data_1,D1-002,T2,D1-002_T2,35,6.590898,0.405617
data_1,D1-002,T2,D1-002_T2,36,6.518197,0.406646
data_1,D1-002,T2,D1-002_T2,37,6.671941,0.405513
data_1,D1-002,T2,D1-002_T2,38,6.776278,0.414933
data_1,D1-002,T2,D1-002_T2,39,6.973552,0.413222
data_1,D1-002,T2,D1-002_T2,40,7.034471,0.413096
data_1,D1-002,T2,D1-002_T2,41,7.182248,0.411567
data_1,D1-002,T2,D1-002_T2,42,7.419687,0.422911
data_1,D1-002,T2,D1-002_T2,43,7.600539,0.419259
data_1,D1-003,T1,D1-003_T1FS,0,12.635779,0.602596
data_1,D1-003,T1,D1-003_T1FS,1,10.849640,0.499206
data_1,D1-003,T1,D1-003_T1FS,2,9.683148,0.439265
data_1,D1-003,T1,D1-003_T1FS,3,9.266786,0.394938
data_1,D1-003,T1,D1-003_T1FS,4,9.085242,0.392480
data_1,D1-003,T1,D1-003_T1FS,5,9.013924,0.392229
data_1,D1-003,T1,D1-003_T1FS,6,8.969215,0.394302
data_1,D1-003,T1,D1-003_T1FS,7,8.935927,0.392220
data_1,D1-003,T1,D1-003_T1FS,8,8.946679,0.390966
data_1,D1-003,T1,D1-003_T1FS,9,8.929005,0.389128
data_1,D1-003,T1,D1-003_T1FS,10,8.910690,0.388992
data_1,D1-003,T1,D1-003_T1FS,11,8.905211,0.386661
data_1,D1-003,T1,D1-003_T1FS,12,8.899795,0.385793
data_1,D1-003,T1,D1-003_T1FS,13,8.873695,0.386448
data_1,D1-003,T1,D1-003_T1FS,14,8.837352,0.385589
data_1,D1-003,T1,D1-003_T1FS,15,8.793179,0.386026
data_1,D1-003,T1,D1-003_T1FS,16,8.693419,0.387073
data_1,D1-003,T1,D1-003_T1FS,17,8.600928,0.385516
data_1,D1-003,T1,D1-003_T1FS,18,8.515646,0.383960
data_1,D1-003,T1,D1-003_T1FS,19,8.423484,0.383806
data_1,D1-003,T1,D1-003_T1FS,20,8.370075,0.383336
data_1,D1-003,T1,D1-003_T1FS,21,8.342870,0.382054
data_1,D1-003,T1,D1-003_T1FS,22,8.288186,0.381712
data_1,D1-003,T1,D1-003_T1FS,23,8.208420,0.380309
data_1,D1-003,T1,D1-003_T1FS,24,8.143321,0.380170
data_1,D1-003,T1,D1-003_T1FS,25,8.076839,0.379406
data_1,D1-003,T1,D1-003_T1FS,26,8.031163,0.378759
data_1,D1-003,T1,D1-003_T1FS,27,7.983810,0.379246
data_1,D1-003,T1,D1-003_T1FS,28,7.933845,0.379259
data_1,D1-003,T1,D1-003_T1FS,29,7.905050,0.378291
data_1,D1-003,T1,D1-003_T1FS,30,7.846925,0.376623
data_1,D1-003,T1,D1-003_T1FS,31,7.834325,0.377299
data_1,D1-003,T1,D1-003_T1FS,32,7.820023,0.378169
data_1,D1-003,T1,D1-003_T1FS,33,7.815001,0.380341
data_1,D1-003,T1,D1-003_T1FS,34,7.736689,0.383734
data_1,D1-003,T1,D1-003_T1FS,35,7.676284,0.378886
data_1,D1-003,T1,D1-003_T1FS,36,7.664504,0.378140
data_1,D1-003,T1,D1-003_T1FS,37,7.675204,0.375337
data_1,D1-003,T1,D1-003_T1FS,38,7.723666,0.375356
data_1,D1-003,T1,D1-003_T1FS,39,7.734157,0.375179
data_1,D1-003,T1,D1-003_T1FS,40,7.747119,0.377184
data_1,D1-003,T1,D1-003_T1FS,41,7.692666,0.378427
data_1,D1-003,T1,D1-003_T1FS,42,7.660403,0.378621
data_1,D1-003,T1,D1-003_T1FS,43,7.681770,0.376873
data_1,D1-003,T1,D1-003_T1FS,44,7.664883,0.376546
data_1,D1-003,T1,D1-003_T1FS,45,7.624423,0.378194
data_1,D1-003,T1,D1-003_T1FS,46,7.569993,0.378585
data_1,D1-003,T1,D1-003_T1FS,47,7.511322,0.378245
data_1,D1-003,T1,D1-003_T1FS,48,7.486202,0.377576
data_1,D1-003,T1,D1-003_T1FS,49,7.480180,0.379638
data_1,D1-003,T1,D1-003_T1FS,50,7.517537,0.379689
data_1,D1-003,T1,D1-003_T1FS,51,7.549394,0.379311
data_1,D1-003,T1,D1-003_T1FS,52,7.560699,0.378680
data_1,D1-003,T1,D1-003_T1FS,53,7.559370,0.378036
data_1,D1-003,T1,D1-003_T1FS,54,7.518319,0.379720
data_1,D1-003,T1,D1-003_T1FS,55,7.577286,0.378622
data_1,D1-003,T1,D1-003_T1FS,56,7.649792,0.376501
data_1,D1-003,T1,D1-003_T1FS,57,7.667007,0.378230
data_1,D1-003,T1,D1-003_T1FS,58,7.704010,0.378559
data_1,D1-003,T1,D1-003_T1FS,59,7.723421,0.377667
data_1,D1-003,T1,D1-003_T1FS,60,7.718051,0.376163
data_1,D1-003,T1,D1-003_T1FS,61,7.745797,0.376651
data_1,D1-003,T1,D1-003_T1FS,62,7.795254,0.379283
data_1,D1-003,T1,D1-003_T1FS,63,7.831303,0.378695
data_1,D1-003,T1,D1-003_T1FS,64,7.820723,0.380282
data_1,D1-003,T1,D1-003_T1FS,65,7.799554,0.381229
data_1,D1-003,T1,D1-003_T1FS,66,7.798499,0.380654
data_1,D1-003,T1,D1-003_T1FS,67,7.824952,0.382988
data_1,D1-003,T1,D1-003_T1FS,68,7.826903,0.382619
data_1,D1-003,T1,D1-003_T1FS,69,7.853966,0.382875
data_1,D1-003,T1,D1-003_T1FS,70,7.833013,0.384233
data_1,D1-003,T1,D1-003_T1FS,71,7.857926,0.383122
data_1,D1-003,T1,D1-003_T1FS,72,7.866918,0.384365
data_1,D1-003,T1,D1-003_T1FS,73,7.892664,0.386507
data_1,D1-003,T1,D1-003_T1FS,74,7.871566,0.387691
data_1,D1-003,T1,D1-003_T1FS,75,7.891901,0.392002
data_1,D1-003,T1,D1-003_T1FS,76,8.097472,0.393687
data_1,D1-003,T1,D1-003_T1FS,77,8.381642,0.397448
data_1,D1-003,T1,D1-003_T1FS,78,8.639540,0.400376
data_1,D1-003,T1,D1-003_T1FS,79,8.742648,0.401875
data_1,D1-003,T1,D1-003_T1FS,80,8.919835,0.406976
data_1,D1-003,T1,D1-003_T1FS,81,9.038713,0.411743
data_1,D1-003,T1,D1-003_T1FS,82,9.013499,0.412236
data_1,D1-003,T1,D1-003_T1FS,83,8.813126,0.410964
data_1,D1-003,T1,D1-003_T1FS,84,8.541537,0.410710
data_1,D1-003,T1,D1-003_T1FS,85,8.371080,0.407736
data_1,D1-003,T1,D1-003_T1FS,86,8.312265,0.406297
data_1,D1-003,T1,D1-003_T1FS,87,8.326704,0.408081
data_1,D1-003,T1,D1-003_T1FS,88,8.358603,0.409722
data_1,D1-003,T1,D1-003_T1FS,89,8.361263,0.409612
data_1,D1-003,T1,D1-003_T1FS,90,8.269712,0.410285
data_1,D1-003,T1,D1-003_T1FS,91,8.195772,0.411258
data_1,D1-003,T1,D1-003_T1FS,92,8.091584,0.410404
data_1,D1-003,T1,D1-003_T1FS,93,8.027699,0.412367
data_1,D1-003,T1,D1-003_T1FS,94,7.943460,0.410690
data_1,D1-003,T1,D1-003_T1FS,95,7.890901,0.410997
data_1,D1-003,T1,D1-003_T1FS,96,7.915760,0.411802
data_1,D1-003,T1,D1-003_T1FS,97,7.976109,0.415111
data_1,D1-003,T1,D1-003_T1FS,98,8.007680,0.413078
data_1,D1-003,T1,D1-003_T1FS,99,8.180351,0.415104
data_1,D1-003,T1,D1-003_T1FS,100,8.325091,0.416052
data_1,D1-003,T1,D1-003_T1FS,101,8.334800,0.417372
data_1,D1-003,T1,D1-003_T1FS,102,8.300194,0.419511
data_1,D1-003,T1,D1-003_T1FS,103,8.343120,0.419205
data_1,D1-003,T1,D1-003_T1FS,104,8.311516,0.419148
data_1,D1-003,T1,D1-003_T1FS,105,8.222552,0.419010
data_1,D1-003,T1,D1-003_T1FS,106,8.205015,0.420993
data_1,D1-003,T1,D1-003_T1FS,107,8.222233,0.422193
data_1,D1-003,T1,D1-003_T1FS,108,8.242785,0.422859
data_1,D1-003,T1,D1-003_T1FS,109,8.387510,0.424552
data_1,D1-003,T1,D1-003_T1FS,110,8.412495,0.424342
data_1,D1-003,T1,D1-003_T1FS,111,8.345052,0.424006
data_1,D1-003,T1,D1-003_T1FS,112,8.282667,0.422575
data_1,D1-003,T1,D1-003_T1FS,113,8.317528,0.423310
data_1,D1-003,T1,D1-003_T1FS,114,8.403128,0.421949
data_1,D1-003,T1,D1-003_T1FS,115,8.550294,0.420447
data_1,D1-003,T1,D1-003_T1FS,116,8.806770,0.424366
data_1,D1-003,T1,D1-003_T1FS,117,9.042190,0.424720
data_1,D1-003,T1,D1-003_T1FS,118,9.188293,0.422678
data_1,D1-003,T1,D1-003_T1FS,119,9.183321,0.422233
data_1,D1-003,T1,D1-003_T1FS,120,9.129937,0.419472
data_1,D1-003,T1,D1-003_T1FS,121,8.994998,0.418605
data_1,D1-003,T1,D1-003_T1FS,122,9.030823,0.417201
data_1,D1-003,T1,D1-003_T1FS,123,9.014869,0.418055
data_1,D1-003,T1,D1-003_T1FS,124,9.140803,0.419416
